1,Holtsville,New York,NY
358,Muscadine,Alabama,AL
359,Newell,Alabama,AL
360,Ohatchee,Alabama,AL
361,Piedmont,Alabama,AL
362,Ranburne,Alabama,AL
363,Roanoke,Alabama,AL
364,Spring Garden,Alabama,AL
365,Wadley,Alabama,AL
366,Weaver,Alabama,AL
367,Wedowee,Alabama,AL
368,Wellington,Alabama,AL
369,Woodland,Alabama,AL
370,Dothan,Alabama,AL
371,Abbeville,Alabama,AL
372,Ariton,Alabama,AL
373,Ashford,Alabama,AL
374,Bellwood,Alabama,AL
375,Black,Alabama,AL
376,Chancellor,Alabama,AL
377,Clopton,Alabama,AL
378,Coffee Springs,Alabama,AL
379,Columbia,Alabama,AL
380,Cottonwood,Alabama,AL
381,Cowarts,Alabama,AL
382,Daleville,Alabama,AL
383,Elba,Alabama,AL
384,Enterprise,Alabama,AL
385,Geneva,Alabama,AL
386,Gordon,Alabama,AL
387,Hartford,Alabama,AL
388,Headland,Alabama,AL
389,Jack,Alabama,AL
390,Malvern,Alabama,AL
391,Midland City,Alabama,AL
392,New Brockton,Alabama,AL
393,Newton,Alabama,AL
394,Newville,Alabama,AL
395,Ozark,Alabama,AL
396,Fort Rucker,Alabama,AL
397,Pansey,Alabama,AL
398,Pinckard,Alabama,AL
399,Shorterville,Alabama,AL
400,Skipperville,Alabama,AL
401,Slocomb,Alabama,AL
402,Webb,Alabama,AL
403,Evergreen,Alabama,AL
404,Andalusia,Alabama,AL
405,Beatrice,Alabama,AL
406,Brewton,Alabama,AL
407,Brooklyn,Alabama,AL
408,Burnt Corn,Alabama,AL
409,Castleberry,Alabama,AL
410,Coy,Alabama,AL
411,Dickinson,Alabama,AL
412,Excel,Alabama,AL
413,Flomaton,Alabama,AL
414,Florala,Alabama,AL
415,Franklin,Alabama,AL
416,Frisco City,Alabama,AL
417,Fulton,Alabama,AL
418,Goodway,Alabama,AL
419,Grove Hill,Alabama,AL
420,Kinston,Alabama,AL
421,Lenox,Alabama,AL
422,Lockhart,Alabama,AL
423,Mc Kenzie,Alabama,AL
424,Megargel,Alabama,AL
425,Mexia,Alabama,AL
426,Monroeville,Alabama,AL
427,Opp,Alabama,AL
428,Perdue Hill,Alabama,AL
429,Peterman,Alabama,AL
430,Range,Alabama,AL
431,Red Level,Alabama,AL
432,Repton,Alabama,AL
433,River Falls,Alabama,AL
434,Samson,Alabama,AL
435,Uriah,Alabama,AL
436,Vredenburgh,Alabama,AL
437,Whatley,Alabama,AL
438,Wing,Alabama,AL
439,Alma,Alabama,AL
440,Atmore,Alabama,AL
441,Axis,Alabama,AL
442,Bay Minette,Alabama,AL
443,Bayou La Batre,Alabama,AL
444,Bon Secour,Alabama,AL
445,Bucks,Alabama,AL
446,Calvert,Alabama,AL
447,Carlton,Alabama,AL
448,Chatom,Alabama,AL
449,Chunchula,Alabama,AL
450,Citronelle,Alabama,AL
451,Coden,Alabama,AL
452,Coffeeville,Alabama,AL
453,Creola,Alabama,AL
454,Daphne,Alabama,AL
455,Spanish Fort,Alabama,AL
456,Dauphin Island,Alabama,AL
457,Deer Park,Alabama,AL
458,Elberta,Alabama,AL
459,Fairhope,Alabama,AL
460,Foley,Alabama,AL
461,Frankville,Alabama,AL
462,Fruitdale,Alabama,AL
463,Gainestown,Alabama,AL
464,Grand Bay,Alabama,AL
465,Gulf Shores,Alabama,AL
466,Huxford,Alabama,AL
467,Irvington,Alabama,AL
468,Jackson,Alabama,AL
469,Leroy,Alabama,AL
470,Lillian,Alabama,AL
471,Little River,Alabama,AL
472,Loxley,Alabama,AL
473,Mc Intosh,Alabama,AL
474,Magnolia Springs,Alabama,AL
475,Malcolm,Alabama,AL
476,Millry,Alabama,AL
477,Montrose,Alabama,AL
478,Mount Vernon,Alabama,AL
479,Orange Beach,Alabama,AL
480,Perdido,Alabama,AL
481,Point Clear,Alabama,AL
482,Robertsdale,Alabama,AL
483,Saint Elmo,Alabama,AL
484,Saint Stephens,Alabama,AL
485,Salitpa,Alabama,AL
486,Saraland,Alabama,AL
487,Satsuma,Alabama,AL
488,Seminole,Alabama,AL
489,Semmes,Alabama,AL
490,Silverhill,Alabama,AL
491,Stapleton,Alabama,AL
492,Stockton,Alabama,AL
493,Summerdale,Alabama,AL
494,Sunflower,Alabama,AL
495,Theodore,Alabama,AL
496,Tibbie,Alabama,AL
497,Vinegar Bend,Alabama,AL
498,Wagarville,Alabama,AL
499,Walker Springs,Alabama,AL
500,Wilmer,Alabama,AL
501,Mobile,Alabama,AL
502,Eight Mile,Alabama,AL
503,Selma,Alabama,AL
504,Alberta,Alabama,AL
505,Annemanie,Alabama,AL
506,Arlington,Alabama,AL
507,Boykin,Alabama,AL
508,Camden,Alabama,AL
509,Campbell,Alabama,AL
510,Catherine,Alabama,AL
511,Demopolis,Alabama,AL
512,Dixons Mills,Alabama,AL
513,Faunsdale,Alabama,AL
514,Forkland,Alabama,AL
515,Furman,Alabama,AL
516,Gallion,Alabama,AL
517,Greensboro,Alabama,AL
518,Jefferson,Alabama,AL
519,Linden,Alabama,AL
520,Jones,Alabama,AL
521,Maplesville,Alabama,AL
522,Lower Peach Tree,Alabama,AL
523,Lowndesboro,Alabama,AL
524,Mc Williams,Alabama,AL
525,Magnolia,Alabama,AL
526,Marion,Alabama,AL
527,Plantersville,Alabama,AL
528,Marion Junction,Alabama,AL
529,Minter,Alabama,AL
530,Morvin,Alabama,AL
531,Myrtlewood,Alabama,AL
532,Nanafalia,Alabama,AL
533,Newbern,Alabama,AL
534,Oak Hill,Alabama,AL
535,Orrville,Alabama,AL
536,Pine Apple,Alabama,AL
537,Pine Hill,Alabama,AL
538,Safford,Alabama,AL
539,Sardis,Alabama,AL
540,Sawyerville,Alabama,AL
541,Snow Hill,Alabama,AL
542,Sprott,Alabama,AL
543,Sweet Water,Alabama,AL
544,Thomaston,Alabama,AL
545,Thomasville,Alabama,AL
546,Tyler,Alabama,AL
547,Uniontown,Alabama,AL
548,Stanton,Alabama,AL
549,Randolph,Alabama,AL
550,Lawley,Alabama,AL
551,Opelika,Alabama,AL
552,Auburn,Alabama,AL
553,Auburn University,Alabama,AL
554,Camp Hill,Alabama,AL
555,Cottonton,Alabama,AL
556,Cusseta,Alabama,AL
557,Dadeville,Alabama,AL
558,Valley,Alabama,AL
559,Five Points,Alabama,AL
560,Fort Mitchell,Alabama,AL
561,Hatchechubbee,Alabama,AL
562,Holy Trinity,Alabama,AL
563,Hurtsboro,Alabama,AL
564,Jacksons Gap,Alabama,AL
565,Lafayette,Alabama,AL
566,Lanett,Alabama,AL
567,Loachapoka,Alabama,AL
568,Notasulga,Alabama,AL
569,Phenix City,Alabama,AL
570,Pittsview,Alabama,AL
571,Salem,Alabama,AL
572,Seale,Alabama,AL
573,Smiths,Alabama,AL
574,Waverly,Alabama,AL
575,Bellamy,Alabama,AL
576,Butler,Alabama,AL
577,Cromwell,Alabama,AL
578,Cuba,Alabama,AL
579,Gilbertown,Alabama,AL
580,Jachin,Alabama,AL
581,Lisman,Alabama,AL
582,Melvin,Alabama,AL
583,Needham,Alabama,AL
584,Pennington,Alabama,AL
585,Silas,Alabama,AL
586,Toxey,Alabama,AL
587,Ward,Alabama,AL
588,York,Alabama,AL
589,Anchorage,Alaska,AL
590,Fort Richardson,Alaska,AL
591,Elmendorf Afb,Alaska,AL
592,Indian,Alaska,AL
593,Adak,Alaska,AL
594,Atka,Alaska,AL
595,Chignik Lake,Alaska,AL
596,Port Heiden,Alaska,AL
597,Port Lions,Alaska,AL
598,Akiachak,Alaska,AL
599,Akiak,Alaska,AL
600,Akutan,Alaska,AL
601,Alakanuk,Alaska,AL
602,Aleknagik,Alaska,AL
603,Anchor Point,Alaska,AL
604,Aniak,Alaska,AL
605,Anvik,Alaska,AL
606,Bethel,Alaska,AL
607,Chefornak,Alaska,AL
608,Chevak,Alaska,AL
609,Chignik,Alaska,AL
610,Chignik Lagoon,Alaska,AL
611,Chitina,Alaska,AL
612,Chugiak,Alaska,AL
613,Clam Gulch,Alaska,AL
614,Clarks Point,Alaska,AL
615,Cold Bay,Alaska,AL
616,Cooper Landing,Alaska,AL
617,Copper Center,Alaska,AL
618,Cordova,Alaska,AL
619,Crooked Creek,Alaska,AL
620,Dillingham,Alaska,AL
621,Eagle River,Alaska,AL
622,Eek,Alaska,AL
623,Egegik,Alaska,AL
624,Ekwok,Alaska,AL
625,Emmonak,Alaska,AL
626,False Pass,Alaska,AL
627,Flat,Alaska,AL
628,Marshall,Alaska,AL
629,Gakona,Alaska,AL
630,Girdwood,Alaska,AL
631,Glennallen,Alaska,AL
632,Goodnews Bay,Alaska,AL
633,Grayling,Alaska,AL
634,Saint George Island,Alaska,AL
635,Holy Cross,Alaska,AL
636,Homer,Alaska,AL
637,Hooper Bay,Alaska,AL
638,Hope,Alaska,AL
639,Iliamna,Alaska,AL
640,Kalskag,Alaska,AL
641,Karluk,Alaska,AL
642,Kasigluk,Alaska,AL
643,Kasilof,Alaska,AL
644,Kenai,Alaska,AL
645,King Cove,Alaska,AL
646,King Salmon,Alaska,AL
647,Kipnuk,Alaska,AL
648,Kodiak,Alaska,AL
649,Kotlik,Alaska,AL
650,Kwethluk,Alaska,AL
651,Kwigillingok,Alaska,AL
652,Larsen Bay,Alaska,AL
653,Levelock,Alaska,AL
654,Lower Kalskag,Alaska,AL
655,Mc Grath,Alaska,AL
656,Manokotak,Alaska,AL
657,Mekoryuk,Alaska,AL
658,Moose Pass,Alaska,AL
659,Mountain Village,Alaska,AL
660,Naknek,Alaska,AL
661,Napakiak,Alaska,AL
662,Nikiski,Alaska,AL
663,New Stuyahok,Alaska,AL
664,Toksook Bay,Alaska,AL
665,Nikolski,Alaska,AL
666,Ninilchik,Alaska,AL
667,Nondalton,Alaska,AL
668,Nunapitchuk,Alaska,AL
669,Old Harbor,Alaska,AL
670,Ouzinkie,Alaska,AL
671,Palmer,Alaska,AL
672,Pedro Bay,Alaska,AL
673,Perryville,Alaska,AL
674,Pilot Point,Alaska,AL
675,Pilot Station,Alaska,AL
676,Platinum,Alaska,AL
677,Big Lake,Alaska,AL
678,Port Alsworth,Alaska,AL
679,Wasilla,Alaska,AL
680,Quinhagak,Alaska,AL
681,Red Devil,Alaska,AL
682,Russian Mission,Alaska,AL
683,Saint Marys,Alaska,AL
684,Saint Michael,Alaska,AL
685,Saint Paul Island,Alaska,AL
686,Sand Point,Alaska,AL
687,Scammon Bay,Alaska,AL
688,Seldovia,Alaska,AL
689,Seward,Alaska,AL
690,Shageluk,Alaska,AL
691,Nunam Iqua,Alaska,AL
692,Skwentna,Alaska,AL
693,Sleetmute,Alaska,AL
694,Soldotna,Alaska,AL
695,South Naknek,Alaska,AL
696,Stebbins,Alaska,AL
697,Sterling,Alaska,AL
698,Sutton,Alaska,AL
699,Takotna,Alaska,AL
700,Talkeetna,Alaska,AL
701,Tatitlek,Alaska,AL
702,Togiak,Alaska,AL
703,Tuluksak,Alaska,AL
704,Tuntutuliak,Alaska,AL
705,Tununak,Alaska,AL
706,Tyonek,Alaska,AL
707,Trapper Creek,Alaska,AL
708,Unalakleet,Alaska,AL
709,Unalaska,Alaska,AL
710,Valdez,Alaska,AL
711,Willow,Alaska,AL
712,Yakutat,Alaska,AL
713,Nightmute,Alaska,AL
714,Nikolai,Alaska,AL
715,Dutch Harbor,Alaska,AL
716,Whittier,Alaska,AL
717,Houston,Alaska,AL
718,Fairbanks,Alaska,AL
719,Eielson Afb,Alaska,AL
720,Fort Wainwright,Alaska,AL
721,Clear,Alaska,AL
722,North Pole,Alaska,AL
723,Salcha,Alaska,AL
724,Two Rivers,Alaska,AL
725,Allakaket,Alaska,AL
726,Anaktuvuk Pass,Alaska,AL
727,Arctic Village,Alaska,AL
728,Barrow,Alaska,AL
729,Beaver,Alaska,AL
730,Ester,Alaska,AL
731,Bettles Field,Alaska,AL
732,Buckland,Alaska,AL
733,Cantwell,Alaska,AL
734,Central,Alaska,AL
735,Chicken,Alaska,AL
736,Circle,Alaska,AL
737,Prudhoe Bay,Alaska,AL
738,Deering,Alaska,AL
739,Delta Junction,Alaska,AL
740,Eagle,Alaska,AL
741,Elim,Alaska,AL
742,Fort Yukon,Alaska,AL
743,Galena,Alaska,AL
744,Gambell,Alaska,AL
745,Healy,Alaska,AL
746,Anderson,Alaska,AL
747,Hughes,Alaska,AL
748,Huslia,Alaska,AL
749,Kaktovik,Alaska,AL
750,Kaltag,Alaska,AL
751,Kiana,Alaska,AL
752,Kivalina,Alaska,AL
753,Kobuk,Alaska,AL
754,Kotzebue,Alaska,AL
755,Koyuk,Alaska,AL
756,Koyukuk,Alaska,AL
757,Denali National Park,Alaska,AL
758,Manley Hot Springs,Alaska,AL
759,Lake Minchumina,Alaska,AL
760,Minto,Alaska,AL
761,Point Lay,Alaska,AL
762,Nenana,Alaska,AL
763,Noatak,Alaska,AL
764,Nome,Alaska,AL
765,Noorvik,Alaska,AL
766,Northway,Alaska,AL
767,Nulato,Alaska,AL
768,Point Hope,Alaska,AL
769,Rampart,Alaska,AL
770,Ruby,Alaska,AL
771,Savoonga,Alaska,AL
772,Selawik,Alaska,AL
773,Shaktoolik,Alaska,AL
774,Shishmaref,Alaska,AL
775,Shungnak,Alaska,AL
776,Stevens Village,Alaska,AL
777,Tanacross,Alaska,AL
778,Tanana,Alaska,AL
779,Teller,Alaska,AL
780,Tetlin,Alaska,AL
781,Tok,Alaska,AL
782,Venetie,Alaska,AL
783,Wainwright,Alaska,AL
784,Wales,Alaska,AL
785,White Mountain,Alaska,AL
786,Brevig Mission,Alaska,AL
787,Ambler,Alaska,AL
788,Chalkyitsik,Alaska,AL
789,Nuiqsut,Alaska,AL
790,Atqasuk,Alaska,AL
791,Juneau,Alaska,AL
792,Angoon,Alaska,AL
793,Auke Bay,Alaska,AL
794,Douglas,Alaska,AL
795,Elfin Cove,Alaska,AL
796,Gustavus,Alaska,AL
797,Haines,Alaska,AL
798,Hoonah,Alaska,AL
799,Kake,Alaska,AL
800,Pelican,Alaska,AL
801,Petersburg,Alaska,AL
802,Sitka,Alaska,AL
803,Port Alexander,Alaska,AL
804,Skagway,Alaska,AL
805,Tenakee Springs,Alaska,AL
806,Ketchikan,Alaska,AL
807,Meyers Chuck,Alaska,AL
808,Coffman Cove,Alaska,AL
809,Thorne Bay,Alaska,AL
810,Craig,Alaska,AL
811,Hydaburg,Alaska,AL
812,Hyder,Alaska,AL
813,Klawock,Alaska,AL
814,Metlakatla,Alaska,AL
815,Point Baker,Alaska,AL
816,Ward Cove,Alaska,AL
817,Wrangell,Alaska,AL
818,Pago Pago,American Samoa,AS
819,Phoenix,Arizona,AR
820,New River,Arizona,AR
821,Mesa,Arizona,AR
822,Apache Junction,Arizona,AR
823,Bapchule,Arizona,AR
824,Casa Grande,Arizona,AR
825,Arizona City,Arizona,AR
826,Chandler,Arizona,AR
827,Chandler Heights,Arizona,AR
828,Coolidge,Arizona,AR
829,Eloy,Arizona,AR
830,Florence,Arizona,AR
831,Gilbert,Arizona,AR
832,Hayden,Arizona,AR
833,Higley,Arizona,AR
834,Kearny,Arizona,AR
835,Maricopa,Arizona,AR
836,Picacho,Arizona,AR
837,Queen Creek,Arizona,AR
838,Red Rock,Arizona,AR
839,Sacaton,Arizona,AR
840,Scottsdale,Arizona,AR
841,Paradise Valley,Arizona,AR
842,Rio Verde,Arizona,AR
843,Fort Mcdowell,Arizona,AR
844,Fountain Hills,Arizona,AR
845,Stanfield,Arizona,AR
846,Superior,Arizona,AR
847,Tempe,Arizona,AR
848,Tortilla Flat,Arizona,AR
849,Valley Farms,Arizona,AR
850,Winkelman,Arizona,AR
851,Glendale,Arizona,AR
852,Luke Afb,Arizona,AR
853,Aguila,Arizona,AR
854,Ajo,Arizona,AR
855,Arlington,Arizona,AR
856,Avondale,Arizona,AR
857,Black Canyon City,Arizona,AR
858,Bouse,Arizona,AR
859,Buckeye,Arizona,AR
860,Cave Creek,Arizona,AR
861,Cibola,Arizona,AR
862,Cashion,Arizona,AR
863,Congress,Arizona,AR
864,Dateland,Arizona,AR
865,Ehrenberg,Arizona,AR
866,El Mirage,Arizona,AR
867,Gadsden,Arizona,AR
868,Gila Bend,Arizona,AR
869,Goodyear,Arizona,AR
870,Laveen,Arizona,AR
871,Litchfield Park,Arizona,AR
872,Lukeville,Arizona,AR
873,Morristown,Arizona,AR
874,Palo Verde,Arizona,AR
875,Parker,Arizona,AR
876,Peoria,Arizona,AR
877,Quartzsite,Arizona,AR
878,Roll,Arizona,AR
879,Salome,Arizona,AR
880,San Luis,Arizona,AR
881,Somerton,Arizona,AR
882,Sun City,Arizona,AR
883,Tacna,Arizona,AR
884,Tolleson,Arizona,AR
885,Tonopah,Arizona,AR
886,Waddell,Arizona,AR
887,Wellton,Arizona,AR
